Movie_Name, Release_Year, IMdb_Ratings, Meta_Score, Votes
Philosophale,2001,1.2,30.0,5
Zugvögel der Liebe,2001,2.8,31.0,5
Geisters,2001,5.8,32.0,5
Wie angelt man sich einen Müllmann?,2001,4.8,33.0,5
Goo,2001,3.4,34.0,5
 Ground Force,1998,9.2,35.0,5
How Time Flies,2001,8.8,36.0,5
Militärisches Sperrgebiet,2001,8.0,37.0,5
A Perfect Two Ronnies Show,2001,7.2,38.0,5
The Joke's on Thee,2001,4.2,39.0,5
A Sensible Obsession,2001,3.8,40.0,5
Things Girls Do...,2001,8.2,41.0,5
Istanbul New York,2001,7.0,42.0,5
Web Girl,2001,6.6,43.0,5
 E! Mysteries & Scandals,1998,7.6,44.0,5
Pressing the Flesh,2001,6.6,45.0,5
Rymningen,2001,4.0,46.0,5
Valèria,2001,6.0,47.0,5
Fly Past,2001,8.6,48.0,5
Die achte Todsünde: Gespensterjagd,2001,5.4,49.0,5
Heaven on Earth,I) (,7.0,50.0,5
Quartzite's Fall: A Wilderness Tale,2001,7.0,1.0,5
Sins of the Mother,2001,8.2,2.0,5
Otaola o la república del exilio,2001,3.8,3.0,5
Judicaël,2001,6.6,4.0,5
Drinking Apart: Families Under the Influence,2001,7.2,5.0,5
Nouvel ordre mondial... quelque part en Afrique,2001,8.4,6.0,5
Rhode Island Blue,2001,7.0,7.0,5
My Son,2001,4.2,8.0,5
Oklahoma Tragedy,2001,6.4,9.0,5
The Gay Riviera,2001,5.6,10.0,5
Mon meilleur amour,2001,6.0,11.0,5
Three Shots,2001,8.2,12.0,5
Faber,2001,9.2,13.0,5
Layar hidup: Tanjang priok/Jakarta,2001,6.4,14.0,5
À bicyclette,2001,5.6,15.0,5
Snowed in Weekend 2001 Dream Concert,2001,5.8,16.0,5
The World Sports Awards,2001,7.2,17.0,5
Avoir su...,2001,6.0,18.0,5
Dans la gueule du loup,2001,3.6,19.0,5
 Great Performances: Dance in America,1976,8.8,20.0,5
Les filles à papa,2001,6.2,21.0,5
La nota final,2001,7.0,22.0,5
Los rebeldes,2001,7.6,23.0,5
Pink Film,2001,8.4,24.0,5
 Vertiges,1997,3.4,25.0,5
Le parisien du village,2001,5.2,26.0,5
La crociera,2001,6.6,27.0,5
Two Grey Hills,2001,6.8,28.0,5
Two Unknown Photographers,2001,9.2,29.0,5
Philosophale,2001,1.2,30.0,5
Zugvögel der Liebe,2001,2.8,31.0,5
Geisters,2001,5.8,32.0,5
Wie angelt man sich einen Müllmann?,2001,4.8,33.0,5
Goo,2001,3.4,34.0,5
 Ground Force,1998,9.2,35.0,5
How Time Flies,2001,8.8,36.0,5
Militärisches Sperrgebiet,2001,8.0,37.0,5
A Perfect Two Ronnies Show,2001,7.2,38.0,5
The Joke's on Thee,2001,4.2,39.0,5
